Monthly CH-4 factors,,,,,
mnthdt: Month-end date,,,,,
rf_mon: 1-year bank deposit rate converted to monthly rate,,,,,
mktrf: the excess return on the market,,,,,
SMB (Small-minus-big): Size factor,,,,,
VMG(Value-minus-growth) Value factor,,,,,
PMO (Pessimistic-minus-Optimistic) Turnover factor,,,,,
Unit: %,,,,,
,,,,,
mnthdt,rf_mon,mktrf,VMG,SMB,PMO
20000131,0.19,14.79,-0.84,-1.88,-10.9
20000229,0.18,11.97,-7.28,1.65,-1.27
20000331,0.19,4.32,-0.5,7.85,7.93
20000430,0.18,1.68,2.43,-0.56,2.78
20000531,0.19,2.2,2.06,1.85,-0.93
20000630,0.18,2.34,5.55,0.89,0.08
20000731,0.19,4.37,1.93,1.02,-3.93
20000831,0.19,-1.75,-1.47,2.07,2.59
20000930,0.18,-5.51,-0.6,1.88,1.45
20001031,0.19,1.57,0.2,2.73,-0.96
20001130,0.18,5.57,1.93,1.26,1.18
20001231,0.19,-0.89,1.69,1.82,0.08
20010131,0.19,-1.2,2.24,0.31,3.27
20010228,0.17,-5.78,3.59,-0.9,-1.15
20010331,0.19,6.7,-0.82,1.96,-0.76
20010430,0.18,-1.37,-1.88,1.06,1.39
20010531,0.19,2.55,-1.8,2.78,-0.37
20010630,0.18,0.15,2.01,1.52,4.14
20010731,0.19,-13.45,-0.26,-0.15,0.2
20010831,0.19,-4.06,-0.98,0.75,0.65
20010930,0.18,-4.51,3.25,-1.53,0.78
20011031,0.19,-4.77,-0.46,-1.8,-0.38
20011130,0.18,3.46,1.41,2.1,2.18
20011231,0.19,-6.08,5.34,-1.45,3.96
20020131,0.19,-9.93,4.92,-3.78,-0.4
20020228,0.17,2.14,0.39,2.15,-0.42
20020331,0.17,5.53,-2.39,2.27,1.49
20020430,0.16,3.84,-1.78,1.33,0.76
20020531,0.17,-8.64,-1.66,-1.13,-0.09
20020630,0.16,14.23,1.09,-3.3,3.11
20020731,0.17,-4.6,1.44,1.16,2.33
20020831,0.17,0.73,0.65,-0.33,0.34
20020930,0.16,-5.44,0.65,-0.93,-0.37
20021031,0.17,-5,0.39,-0.96,-0.51
20021130,0.16,-5.46,2.42,-3.51,-0.65
20021231,0.17,-5.35,0.64,-0.26,0.79
20030131,0.17,9.36,1.74,1.25,4.48
20030228,0.15,0.63,0.1,0.94,1.26
20030331,0.17,-0.4,4.15,-3.03,-0.49
20030430,0.16,0.67,7.01,-5.89,-2.88
20030531,0.17,4.14,0.46,-0.56,0.08
20030630,0.16,-6.2,2.95,-1.22,3.1
20030731,0.17,-0.61,2.6,-3.41,-0.46
20030831,0.17,-3.81,-0.86,0.95,1.12
20030930,0.16,-4.41,0.49,0.23,0.66
20031031,0.17,-1.67,9.41,-4.87,5.63
20031130,0.16,2.78,2.55,0.31,-1.98
20031231,0.17,6.16,10.36,-7.22,4.06
20040131,0.17,5.96,0.28,3.66,3.93
20040229,0.16,6.05,-3.37,3.81,1.45
20040331,0.17,3.61,2.96,2,2.15
20040430,0.16,-9.36,3.9,0.34,0.84
20040531,0.17,-2.66,-1.06,1.33,0.95
20040630,0.16,-10.2,5.07,-2.95,0.5
20040731,0.17,-0.34,3.15,-1.05,0.35
20040831,0.17,-3.56,4.86,-1.01,3.2
20040930,0.16,4.57,3.83,0.5,-1.48
20041031,0.17,-5.41,4.12,-0.81,1.84
20041130,0.18,1.18,-2.9,3.98,2.81
20041231,0.19,-6.01,5.58,-2.03,3.39
20050131,0.19,-6.16,2.38,-1.42,-1.09
20050228,0.17,9.34,1.54,1.72,-0.87
20050331,0.19,-9.55,4.71,-3.9,3
20050430,0.18,-2.25,7.21,-5.36,-2.42
20050531,0.19,-8.42,-4.68,5.65,2.91
20050630,0.18,2,4.93,-2.09,0.26
20050731,0.19,0.1,8.1,-7.7,-3.56
20050831,0.19,8.36,-4.38,8.09,1.74
20050930,0.18,-0.49,2.92,3.05,1.36
20051031,0.19,-5.75,1.81,-0.21,3.78
20051130,0.18,0.23,-0.62,1.48,2.63
20051231,0.19,6.07,4.37,-4.69,0.65
20060131,0.19,8.62,-0.42,-0.77,2.1
20060228,0.17,3.61,-2.62,-1.67,2.65
20060331,0.19,0.65,1.72,-1.02,-2.85
20060430,0.18,11.28,4.69,-1.07,-3.19
20060531,0.19,16.03,-8.13,9.7,7.51
20060630,0.18,2.59,3.75,4.76,-1.08
20060731,0.19,-6.88,-1.24,4.23,1.69
20060831,0.2,3.94,-0.16,-0.72,0.04
20060930,0.2,4.64,-0.98,-0.63,3.44
